|R|MA|1|
|N|MA|1|
|R|AA|1|
|N|AA|1|
|R|CS|5|
|U|CS|4|
|N|CS|3|
|E|CS|2|
|R|C|5|
|N|C|3|
|U|C|4|
C|R|A|5|
C|N|A|4|
S|R|A|5|
S|N|A|4|
C|R|R|50|
C|U|R|47|
C|N|R|45|
P|N|R|40|
S|R|R|35|
S|U|R|30|
S|N|R|25|
P|D|R|20|
P|S|R|15|
