MRXW.FIN|MRFILES|LAT,WD,CUI,LUI,SUI|Finnish Word Index|12-sep-2002 18:10:46|
MRXW.FRE|MRFILES|LAT,WD,CUI,LUI,SUI|French Word Index|12-sep-2002 18:10:46|
MRXW.GER|MRFILES|LAT,WD,CUI,LUI,SUI|German Word Index|12-sep-2002 18:10:46|
MRXW.HEB|MRFILES|LAT,WD,CUI,LUI,SUI|Hebrew Word Index|12-sep-2002 18:10:46|
MRXW.HUN|MRFILES|LAT,WD,CUI,LUI,SUI|Hungarian Word Index|12-sep-2002 18:10:46|
MRXW.ITA|MRFILES|LAT,WD,CUI,LUI,SUI|Italian Word Index|12-sep-2002 18:10:46|
MRXW.JPN|MRFILES|LAT,WD,CUI,LUI,SUI|Japanese Word Index|12-sep-2002 18:10:46|
MRXW.NOR|MRFILES|LAT,WD,CUI,LUI,SUI|Norwegian Word Index|12-sep-2002 18:10:46|
MRXW.POR|MRFILES|LAT,WD,CUI,LUI,SUI|Portuguese Word Index|12-sep-2002 18:10:46|
MRXW.RUS|MRFILES|LAT,WD,CUI,LUI,SUI|Russian Word Index|12-sep-2002 18:10:46|
MRXW.SPA|MRFILES|LAT,WD,CUI,LUI,SUI|Spanish Word Index|12-sep-2002 18:10:46|
MRXW.SWE|MRFILES|LAT,WD,CUI,LUI,SUI|Swedish Word Index|12-sep-2002 18:10:46|
AMBIG.LUI|MRFILES|LUI,CUI|Ambiguous term identifiers|20-APR-04|
AMBIG.SUI|MRFILES|SUI,CUI|Ambiguous string identifiers|20-APR-04|
CHANGE/DELETED.CUI|MRFILES|PCUI,PSTR|Deleted concepts|20-APR-04|
CHANGE/DELETED.LUI|MRFILES|PLUI,PSTR|Deleted terms|20-APR-04|
CHANGE/DELETED.SUI|MRFILES|PSUI,LAT,PSTR|Deleted strings|20-APR-04|
CHANGE/MERGED.CUI|MRFILES|PCUI,CUI|Merged concepts|20-APR-04|
CHANGE/MERGED.LUI|MRFILES|PLUI,LUI|Merged terms|20-APR-04|
NSTR|MRCOLS|varchar(3000)|Normalized string|12-sep-2002 18:10:46|
NWD|MRCOLS|varchar(100)|Normalized word|12-sep-2002 18:10:46|
PCUI|MRCOLS|char(8)|Concept unique identifier in the previous Metathesaurus|20-APR-04|
PLUI|MRCOLS|varchar(10)|Lexical unique identifier in the previous Metathesaurus|20-APR-04|
PSTR|MRCOLS|varchar(3000)|Preferred name in the previous Metathesaurus|20-APR-04|
PSUI|MRCOLS|varchar(10)|String unique identifier in the previous Metathesaurus|20-APR-04|
RANK|MRCOLS|integer|Termgroup ranking|12-sep-2002 18:10:46|
RCUI|MRCOLS|char(8)|Unique identifier for root SRC concept|12-sep-2002 18:10:46|
REF|MRCOLS|varchar(20)|Documentation Section Number|12-sep-2002 18:10:46|
REL|MRCOLS|varchar(3)|Relationship|12-sep-2002 18:10:46|
RELA|MRCOLS|varchar(100)|Relationship attribute|12-sep-2002 18:10:46|
RMETA|MRCOLS|varchar(10)|Version of the Metathesaurus where a version is removed|12-sep-2002 18:10:46|
RNK|MRCOLS|integer|Rank|12-sep-2002 18:10:46|
RSAB|MRCOLS|varchar(40)|Root source abbreviation|12-sep-2002 18:10:46|
RWS|MRCOLS|integer|Number of rows|12-sep-2002 18:10:46|
SAB|MRCOLS|varchar(40)|Source abbreviation|12-sep-2002 18:10:46|
SABIN|MRCOLS|char(1)|Source in current subset|12-sep-2002 18:10:46|
SCC|MRCOLS|varchar(1000)|Content contact info for a source|12-sep-2002 18:10:46|
SF|MRCOLS|varchar(40)|Source Family|12-sep-2002 18:10:46|
SL|MRCOLS|varchar(40)|Source of relationship labels|12-sep-2002 18:10:46|
SLC|MRCOLS|varchar(1000)|License contact info for a source|12-sep-2002 18:10:46|
SNA|MRCOLS|varchar(3000)|Actual name that occurs in source|12-sep-2002 18:10:46|
SOC|MRCOLS|varchar(20)|Source of co-occurrence information|12-sep-2002 18:10:46|
SON|MRCOLS|varchar(3000)|Source Official Name|12-sep-2002 18:10:46|
SOUI|MRCOLS|varchar(10)|Unique identifier of record|12-sep-2002 18:10:46|
SRL|MRCOLS|integer|Source Restriction Level|12-sep-2002 18:10:46|
STR|MRCOLS|varchar(3000)|String|12-sep-2002 18:10:46|
STT|MRCOLS|varchar(3)|String type|12-sep-2002 18:10:46|
STY|MRCOLS|varchar(50)|Semantic type|12-sep-2002 18:10:46|
SUI|MRCOLS|varchar(10)|Unique identifier for string|12-sep-2002 18:10:46|
SUPRES|MRCOLS|char(1)|Suppressible flag|12-sep-2002 18:10:46|
SVER|MRCOLS|varchar(20)|Release date or version number of a source|12-sep-2002 18:10:46|
TFR|MRCOLS|integer|Term frequency for a source|12-sep-2002 18:10:46|
TS|MRCOLS|char(1)|Term status|12-sep-2002 18:10:46|
TTY|MRCOLS|varchar(20)|Term type in source|12-sep-2002 18:10:46|
TTYL|MRCOLS|varchar(200)|Term type list for a source|12-sep-2002 18:10:46|
